date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:06	16379/16379	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:04%20GMT	https://securityheaders.com/?q=http%3A%2F%2Fweddingdress.blog%2Farticle%2Fview%2Ftrial-runs-the-importance-of-dress-fitting_14030.html	/Users/bb/websites/dead-link-checker/securityheaders.com/index9347.html	(from https://securityheaders.com/)
12:46:06	17726/17726	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:05%20GMT	https://securityheaders.com/?q=https%3A%2F%2Fzh-cn.queenmobile.org%2F	/Users/bb/websites/dead-link-checker/securityheaders.com/index39c0.html	(from https://securityheaders.com/)
12:46:07	2018/2018	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-7e2%22	https://securityheaders.com/images/A+.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/A+.png	(from https://securityheaders.com/?q=https%3A%2F%2Fsecurityheaders.com%2F)
12:46:07	1975/1975	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-7b7%22	https://securityheaders.com/images/B.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/B.png	(from https://securityheaders.com/?q=https%3A%2F%2Fabc8a.blue%2F)
12:46:10	641/641	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Jan%202025%2007:16:10%20GMT	https://www.digwow.net/post/3817462590/12488/12488-005.pdf	/Users/bb/websites/dead-link-checker/www.digwow.net/post/3817462590/12488/12488-005.16.delayed	(from https://securityheaders.com/?q=https%3A%2F%2Fwww.digwow.net%2Fpost%2F3817462590%2F12488%2F12488-005.pdf)
12:46:11	1016/1016	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-3f8%22	https://securityheaders.com/images/E.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/E.png	(from https://securityheaders.com/?q=http%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F)
12:46:11	15320/15320	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:11%20GMT	https://securityheaders.com/?q=https%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F	/Users/bb/websites/dead-link-checker/securityheaders.com/index9bec.html	(from https://securityheaders.com/?q=http%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F)
12:46:11	2143/2143	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-85f%22	https://securityheaders.com/images/A.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/A.png	(from https://securityheaders.com/?q=https%3A%2F%2Fbags-ua.com%2F)
12:46:12	1180/1180	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-49c%22	https://securityheaders.com/images/F.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/F.png	(from https://securityheaders.com/?q=http%3A%2F%2Fgodgiven.nu%2Fcgi-bin%2Frefsweep.cgi%3Furl%3Dhttps%3A%2F%2Fhurstmodels.com%2F)
12:46:14	870/870	---MC-	200	added ('OK')	text/javascript	date:Fri,%2003%20Jan%202025%2007:16:13%20GMT	https://www.google.com/recaptcha/api.js	/Users/bb/websites/dead-link-checker/www.google.com/recaptcha/api.js	(from https://securityheaders.com/api/manage)
12:46:14	15323/15323	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:13%20GMT	https://securityheaders.com/?q=https%3A%2F%2Fweddingdress.blog%2Farticle%2Fview%2Ftrial-runs-the-importance-of-dress-fitting_14030.html	/Users/bb/websites/dead-link-checker/securityheaders.com/index4360.html	(from https://securityheaders.com/?q=http%3A%2F%2Fweddingdress.blog%2Farticle%2Fview%2Ftrial-runs-the-importance-of-dress-fitting_14030.html)
12:46:14	14670/14670	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:14%20GMT	https://securityheaders.com/?q=https%3A%2F%2Fnoref.pl%2F1707390231%2F%3Fu%3Dhttps%3A%2F%2Fwww.syracuse-computer-repairs.com%2F	/Users/bb/websites/dead-link-checker/securityheaders.com/index43e0.html	(from https://securityheaders.com/?q=http%3A%2F%2Fnoref.pl%2F1707390231%2F%3Fu%3Dhttps%3A%2F%2Fwww.syracuse-computer-repairs.com%2F)
12:46:15	100/100	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-64%22	https://securityheaders.com/js/submitForm.js	/Users/bb/websites/dead-link-checker/securityheaders.com/js/submitForm.js	(from https://securityheaders.com/api/manage)
12:46:15	1866/1866	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-74a%22	https://securityheaders.com/images/R.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/R.png	(from https://securityheaders.com/?q=https%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F)
12:46:16	6373/6373	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:16%20GMT	https://securityheaders.com/?q=https%3A%2F%2Fgodgiven.nu%2Fcgi-bin%2Frefsweep.cgi%3Furl%3Dhttps%3A%2F%2Fhurstmodels.com%2F	/Users/bb/websites/dead-link-checker/securityheaders.com/index4c01.html	(from https://securityheaders.com/?q=http%3A%2F%2Fgodgiven.nu%2Fcgi-bin%2Frefsweep.cgi%3Furl%3Dhttps%3A%2F%2Fhurstmodels.com%2F)
12:46:16	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jan%202025%2007:16:16%20GMT	https://securityheaders.com/images/.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/.png	(from https://securityheaders.com/?q=https%3A%2F%2Fgodgiven.nu%2Fcgi-bin%2Frefsweep.cgi%3Furl%3Dhttps%3A%2F%2Fhurstmodels.com%2F)
12:46:17	2018/2018	URF---	200	added ('OK%20(cached)')	image/png		https://securityheaders.com/images/A+.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/A+.png	(from https://securityheaders.com/?q=https%3A%2F%2Fsecurityheaders.com%2F)
12:46:17	1016/1016	URF---	200	added ('OK%20(cached)')	image/png		https://securityheaders.com/images/E.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/E.png	(from https://securityheaders.com/?q=http%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F)
12:46:18	100/100	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-64%22	https://securityheaders.com/js/submitForm.js	/Users/bb/websites/dead-link-checker/securityheaders.com/js/submitForm.js	(from https://securityheaders.com/api/manage)
12:46:18	870/870	UR-MC-	200	added ('OK')	text/javascript	date:Fri,%2003%20Jan%202025%2007:16:17%20GMT	https://www.google.com/recaptcha/api.js	/Users/bb/websites/dead-link-checker/www.google.com/recaptcha/api.js	(from https://securityheaders.com/api/manage)
12:46:18	2174/2174	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-87e%22	https://securityheaders.com/css/images/tablet-img.png	/Users/bb/websites/dead-link-checker/securityheaders.com/css/images/tablet-img.png	(from https://securityheaders.com/css/style-desktop.min.css?v=1.0.17)
12:46:20	4568/4568	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-11d8%22	https://securityheaders.com/css/images/tablet-shadow.png	/Users/bb/websites/dead-link-checker/securityheaders.com/css/images/tablet-shadow.png	(from https://securityheaders.com/css/style-desktop.min.css?v=1.0.17)
12:46:20	2847/2847	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-b1f%22	https://securityheaders.com/css/images/mobile-img.png	/Users/bb/websites/dead-link-checker/securityheaders.com/css/images/mobile-img.png	(from https://securityheaders.com/css/style-desktop.min.css?v=1.0.17)
12:46:21	2627/2627	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-a43%22	https://securityheaders.com/css/images/mobile-shadow.png	/Users/bb/websites/dead-link-checker/securityheaders.com/css/images/mobile-shadow.png	(from https://securityheaders.com/css/style-desktop.min.css?v=1.0.17)
12:46:22	2217/2217	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-8a9%22	https://securityheaders.com/css/images/shadow-bg02.png	/Users/bb/websites/dead-link-checker/securityheaders.com/css/images/shadow-bg02.png	(from https://securityheaders.com/css/style-desktop.min.css?v=1.0.17)
12:46:23	402/402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266e04e1a-192%22	https://securityheaders.com/css/images/toggle.svg	/Users/bb/websites/dead-link-checker/securityheaders.com/css/images/toggle.svg	(from https://securityheaders.com/css/style-mobile.min.css?v=1.0.18)
12:46:25	15320/-1	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:16:24%20GMT	https://securityheaders.com/?q=https%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F	/Users/bb/websites/dead-link-checker/securityheaders.com/index9bec.html	(from https://securityheaders.com/?q=http%3A%2F%2Fkruga.net%2Fproxy.php%3Flink%3Dhttps%3A%2F%2Fslotscomment.com%2F)
